"id";"student_id";"name";"email";"password";"phone_number";"active"
78;78;"Vaibhavi Ubale";"vaibhavi.ubale78@gmail.com";"parent@123";"9876543078";1
79;79;"Sharvani Natekar";"sharvani.natekar79@gmail.com";"parent@123";"9876543079";1
80;80;"Ravindra Barge";"ravindra.barge80@gmail.com";"parent@123";"9876543080";1
81;81;"Asmita Mohite";"asmita.mohite81@gmail.com";"parent@123";"9876543081";1
82;82;"Vishnu Devkate";"vishnu.devkate82@gmail.com";"parent@123";"9876543082";1
83;83;"Sarika Mhaske";"sarika.mhaske83@gmail.com";"parent@123";"9876543083";1
84;84;"Ramesh Chaure";"ramesh.chaure84@gmail.com";"parent@123";"9876543084";1
85;85;"Nikita Madane";"nikita.madane85@gmail.com";"parent@123";"9876543085";1
86;86;"Sanjay Vhaval";"sanjay.vhaval86@gmail.com";"parent@123";"9876543086";1
87;87;"Ankita Koli";"ankita.koli87@gmail.com";"parent@123";"9876543087";1
88;88;"Madhukar Ghuge";"madhukar.ghuge88@gmail.com";"parent@123";"9876543088";1
89;89;"Smita Dande";"smita.dande89@gmail.com";"parent@123";"9876543089";1
90;90;"Rajendra Babar";"rajendra.babar90@gmail.com";"parent@123";"9876543090";1
91;91;"Kavita Ghorpade";"kavita.ghorpade91@gmail.com";"parent@123";"9876543091";1
92;92;"Mahadev Shitole";"mahadev.shitole92@gmail.com";"parent@123";"9876543092";1
93;93;"Sonal Jadhav";"sonal.jadhav93@gmail.com";"parent@123";"9876543093";1
94;94;"Amol Mandhare";"amol.mandhare94@gmail.com";"parent@123";"9876543094";1
95;95;"Rupali Mankar";"rupali.mankar95@gmail.com";"parent@123";"9876543095";1
96;96;"Vikram Karde";"vikram.karde96@gmail.com";"parent@123";"9876543096";1
97;97;"Anuja Thakare";"anuja.thakare97@gmail.com";"parent@123";"9876543097";1
98;98;"Nitin Nandgaonkar";"nitin.nandgaonkar98@gmail.com";"parent@123";"9876543098";1
99;99;"Manasi Vartak";"manasi.vartak99@gmail.com";"parent@123";"9876543099";1
100;100;"Bhaskar Satpute";"bhaskar.satpute100@gmail.com";"parent@123";"9876543100";1
