"id";"name";"email";"password";"roll_number";"semester";"professor_id";"active"
65;"Ashish Deshmukh";"ashish.deshmukh@college.edu";"pass123";"RN1065";4;5;1
66;"Pratik Jadhav";"pratik.jadhav@college.edu";"pass123";"RN1066";2;6;1
67;"Yogesh Shinde";"yogesh.shinde@college.edu";"pass123";"RN1067";1;7;1
68;"Abhishek Kale";"abhishek.kale@college.edu";"pass123";"RN1068";3;8;1
69;"Rushikesh More";"rushikesh.more@college.edu";"pass123";"RN1069";4;9;1
70;"Mahesh Ghorpade";"mahesh.ghorpade@college.edu";"pass123";"RN1070";2;10;1
71;"Ajinkya Bhosale";"ajinkya.bhosale@college.edu";"pass123";"RN1071";1;11;1
72;"Nilesh Patil";"nilesh.patil@college.edu";"pass123";"RN1072";2;12;1
73;"Ganesh Deshmukh";"ganesh.deshmukh@college.edu";"pass123";"RN1073";3;13;1
74;"Vinay Jadhav";"vinay.jadhav@college.edu";"pass123";"RN1074";1;14;1
75;"Mandar Shinde";"mandar.shinde@college.edu";"pass123";"RN1075";4;15;1
76;"Akhil Pawar";"akhil.pawar@college.edu";"pass123";"RN1076";2;16;1
77;"Siddharth Chavan";"siddharth.chavan@college.edu";"pass123";"RN1077";1;17;1
78;"Ravindra Kale";"ravindra.kale@college.edu";"pass123";"RN1078";3;18;1
79;"Sankalp More";"sankalp.more@college.edu";"pass123";"RN1079";4;19;1
80;"Chetan Ghorpade";"chetan.ghorpade@college.edu";"pass123";"RN1080";2;20;1
81;"Kiran Bhosale";"kiran.bhosale@college.edu";"pass123";"RN1081";1;2;1
82;"Harshal Patil";"harshal.patil@college.edu";"pass123";"RN1082";2;50;1
83;"Atharva Deshmukh";"atharva.deshmukh@college.edu";"pass123";"RN1083";3;3;1
84;"Sahil Jadhav";"sahil.jadhav@college.edu";"pass123";"RN1084";1;4;1
85;"Ravikant Shinde";"ravikant.shinde@college.edu";"pass123";"RN1085";4;5;1
86;"Ruturaj Pawar";"ruturaj.pawar@college.edu";"pass123";"RN1086";2;6;1
87;"Parth Chavan";"parth.chavan@college.edu";"pass123";"RN1087";1;7;1
88;"Kartik Kale";"kartik.kale@college.edu";"pass123";"RN1088";3;8;1
89;"Adarsh More";"adarsh.more@college.edu";"pass123";"RN1089";4;9;1
90;"Omkar Ghorpade";"omkar.ghorpade@college.edu";"pass123";"RN1090";2;10;1
91;"Tanmay Bhosale";"tanmay.bhosale@college.edu";"pass123";"RN1091";1;11;1
92;"Vaibhav Patil";"vaibhav.patil@college.edu";"pass123";"RN1092";2;12;1
93;"Devansh Deshmukh";"devansh.deshmukh@college.edu";"pass123";"RN1093";3;13;1
94;"Siddesh Jadhav";"siddesh.jadhav@college.edu";"pass123";"RN1094";1;14;1
95;"Aarush Shinde";"aarush.shinde@college.edu";"pass123";"RN1095";4;15;1
96;"Bhavesh Pawar";"bhavesh.pawar@college.edu";"pass123";"RN1096";2;16;1
97;"Mihir Chavan";"mihir.chavan@college.edu";"pass123";"RN1097";1;17;1
98;"Dev Kale";"dev.kale@college.edu";"pass123";"RN1098";3;18;1
99;"Shaurya More";"shaurya.more@college.edu";"pass123";"RN1099";4;19;1
100;"Ved Ghorpade";"ved.ghorpade@college.edu";"pass123";"RN1100";2;20;1
101;"harshal nirali";"harshal@gmail.com";"h1";"PN20042";0;2;0
102;"Kiran Sawant";"kiran@gmail.com";"k1";"RN0012";0;2;1
